HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5045438,Studley Park,NULL,Camden,SHR,00389,1072 (TBC),2014-03-20,
5045140,Cleveland House,146-164 Chalmers Street Surry Hills,Sydney,SHR,00065,259,2014-03-20,
5012046,Gunnedah Railway Station group,NULL,Gunnedah,SHR,01160,2462,2014-03-20,
5045675,Maitland Town Hall & adj Office Building & Supper Room,NULL,Maitland,SHR,00183,365,2014-03-20,
5012052,Hawkesbury River Rail Bridge and Long Island Group,NULL,Gosford,SHR,01040,2424,2014-03-20,
5045273,Couridjah Railway Station,NULL,Wollondilly,SHR,01121,NULL,2014-03-20,
5051263,Brough House,NULL,Maitland,SHR,01495,2123,2014-03-20,
5045139,"Igloo House, The",65 Parriwi Road Mosman,Mosman,SHR,01652,2080,2014-03-20,
5012259,Walcha Road Railway Station and yard group,NULL,Walcha,SHR,01281,NULL,2014-03-20,
5045289,Royal Hotel & Outbuildings,223 Sharp Street Cooma,Cooma-Monaro,SHR,00616,1619,2014-03-20,
5045448,Bishopscourt,11-21 Greenoaks Avenue Darling Point,Woollahra,SHR,00362,867,2014-03-20,
5060185,Bundian Way,,Various,SHR,01906,2551,,
5045053,Warehouses (former),139-153 Sussex Street Sydney,Sydney,SHR,00413,945 (TBC),2014-03-20,
5045070,"Coppabella Blacksmith Shop, Stables and Burial Plot",NULL,Greater Hume,SHR,00620,1642,2014-03-20,
5045426,Beulah,NULL,Campbelltown,SHR,00368,874,2014-03-20,
5055972,Pipers Creek Lime Kilns,Kumbatine National Park Bonnie Corner Road Dondingalong,Kempsey,SHR,01856,2336,2014-03-20,
5045361,GA Zink & Sons Building,56 Oxford Street Darlinghurst,Sydney,SHR,00658,1697,2014-03-20,
5045713,Narrandera rail bridge over Murrumbidgee River,NULL,Narrandera,SHR,01050,2180,2014-03-20,
5045025,Neotsfield,NULL,Singleton,SHR,00216,521,2014-03-20,
5045041,Terrace Houses,163-169 Sussex Street Sydney,Sydney,SHR,00415,947 (TBC),2014-03-20,
5045464,Brush Farm,NULL,Ryde,SHR,00612,1627,2014-03-20,
5045072,Craithes House,34-40 Borec Road Penrith,Penrith,SHR,00378,886,2014-03-20,
5045466,"Riverview House, Outbuildings etc",135 Marsden Road West Ryde,Ryde,SHR,00775,1857,2014-03-20,
5012053,Hay Railway Station and yard group,Narrandera-Hay railway Hay,Hay,SHR,01167,2660,2014-12-16,
5045452,Albury Post Office,570 Dean Street Albury,Albury City,SHR,01311,NULL,2014-03-20,
5045525,Terrace Building,23-27 Johnston Street Windsor,Hawkesbury,SHR,00075,269,2014-03-20,
5045570,Moama Historic Precinct,NULL,Murray,SHR,00600,1596,2014-03-20,
5051380,Morpeth Bridge over the Hunter River,Main Road 102 Morpeth,Maitland,SHR,01476,2653,2014-12-02,
5054828,Newington Armament Depot and Nature Reserve,NULL,Auburn,SHR,01850,2320,2014-03-20,
5051353,South Head Signal Station,NULL,Woollahra,SHR,01436,NULL,2014-03-20,
5044992,Glenbrook Railway Residence,NULL,Blue Mountains,SHR,00713,1764,2014-03-20,
5011955,Broadmeadow Railway Locomotive Depot,NULL,Newcastle,SHR,01100,2454,2014-03-20,
5045331,Merriville House & Gardens,NULL,Blacktown,SHR,00091,302,2014-03-20,
5011977,Cootamundra West Railway Station group,NULL,Cootamundra,SHR,01119,NULL,2014-03-20,
5055125,CWA Rest House,NULL,Narrandera,SHR,01876,2471,2014-03-20,
5053152,Captain Tench Arcade,111-115 George Street The Rocks,Sydney,SHR,01537,NULL,2014-03-20,
5053865,Kiama Reservoir (WS 0232),NULL,Kiama,SHR,01627,2043,2014-03-20,
5012062,Kempsey rail bridge over Macleay River,NULL,Kempsey,SHR,01041,NULL,2014-03-20,
5053200,Shop and Residence,145 George Street The Rocks,Sydney,SHR,01584,NULL,2014-03-20,
5012059,"Junee Railway Station, yard, locomotive depot",NULL,Junee,SHR,01173,NULL,2014-03-20,
5051297,Hay Post Office,120 Lachlan Street Hay,Hay,SHR,01441,2138,2014-03-20,
5053139,Argyle Stores,12-20 Argyle Street The Rocks,Sydney,SHR,01524,NULL,2014-03-20,
5045091,Commercial Hotel & Cottage,430-436 Smollett Street Albury,Albury City,SHR,00538,1369,2014-03-20,
5045345,Bedervale,NULL,Palerang,SHR,00017,117,2014-03-20,
5045159,"Grange, The",NULL,Gosford,SHR,00222,530,2014-03-20,
5045244,Fernleigh,44-46 Fernleigh Road Caringbah South,Sutherland,SHR,00302,302,2014-03-20,
5045087,Gordon Public School,799 Pacific Highway Gordon,Ku-Ring-Gai,SHR,00757,1819,2014-03-20,
5045385,Carisbrook,334 Burns Bay Road Lane Cove,Lane Cove,SHR,00112,312,2014-03-20,
5045355,CBA Bank (former),164-166 Beardy Street Armidale,Armidale Dumaresq,SHR,00433,1116,2014-03-20,
5045024,Bowen Terrace,3-25 Bathurst Road Orange,Orange,SHR,00013,59,2014-03-20,
5012291,Wollongong Railway Station Group,NULL,Wollongong City,SHR,01289,2427,2014-03-20,
5045136,Public Reserve associated with Elizabeth Farm,NULL,Parramatta,SHR,00285,674,2014-03-20,
5054896,Royal National Park Coastal Cabin Communities,NULL,Wollongong City,SHR,01878,2513,2014-03-20,
5045039,Building,42 Cowles Road Mosman,Mosman,SHR,00430,1075,2014-03-20,
